date,Fiscal Quarter End,Estimated EPS,Actual EPS
2024-08-01,2024-06-30,1.05,1.23
2024-04-30,2024-03-31,0.83,1.13
2024-02-01,2023-12-31,0.81,1.01
2023-10-26,2023-09-30,0.58,0.85
2023-08-03,2023-06-30,0.34,0.63
2023-04-27,2023-03-31,0.21,0.31
2023-02-02,2022-12-31,0.15,0.21
2022-10-27,2022-09-30,0.22,0.20
2022-07-28,2022-06-30,0.15,0.10
2022-04-28,2022-03-31,0.44,0.21
2022-02-03,2021-12-31,0.19,1.39
2021-10-28,2021-09-30,0.46,0.31
2021-07-29,2021-06-30,0.61,0.76
2021-04-29,2021-03-31,0.49,0.79
2021-02-02,2020-12-31,0.35,0.70
2020-10-29,2020-09-30,0.37,0.62
2020-07-30,2020-06-30,0.09,0.52
2020-04-30,2020-03-31,0.32,0.25
2020-01-30,2019-12-31,0.20,0.32
2019-10-24,2019-09-30,0.22,0.21
2019-07-25,2019-06-30,0.26,0.26
2019-04-25,2019-03-31,0.23,0.35
2019-01-31,2018-12-31,0.28,0.30
2018-10-25,2018-09-30,0.16,0.29
2018-07-26,2018-06-30,0.12,0.25
2018-04-26,2018-03-31,0.06,0.16
2018-02-01,2017-12-31,0.09,0.11
2017-10-26,2017-09-30,0.00,0.03
2017-07-27,2017-06-30,0.07,0.02
2017-04-27,2017-03-31,0.05,0.07
2017-02-02,2016-12-31,0.07,0.08
2016-10-27,2016-09-30,0.04,0.03
2016-07-28,2016-06-30,0.06,0.09
2016-04-28,2016-03-31,0.03,0.05
2016-01-28,2015-12-31,0.08,0.05
2015-10-22,2015-09-30,-0.01,0.01
2015-07-23,2015-06-30,-0.01,0.01
2015-04-23,2015-03-31,-0.01,-0.01
2015-01-29,2014-12-31,0.01,0.02
