date,Fiscal Quarter End,Estimated EPS,Actual EPS
2024-07-23,2024-06-30,1.85,1.89
2024-04-25,2024-03-31,1.49,1.89
2024-01-30,2023-12-31,1.60,1.64
2023-10-24,2023-09-30,1.45,1.55
2023-07-25,2023-06-30,1.32,1.44
2023-04-25,2023-03-31,1.06,1.17
2023-02-02,2022-12-31,1.14,1.05
2022-10-25,2022-09-30,1.25,1.06
2022-07-26,2022-06-30,1.27,1.21
2022-04-26,2022-03-31,1.29,1.23
2022-02-01,2021-12-31,1.33,1.53
2021-10-26,2021-09-30,1.16,1.40
2021-07-27,2021-06-30,0.99,1.36
2021-04-27,2021-03-31,0.78,1.31
2021-02-02,2020-12-31,0.80,1.12
2020-10-29,2020-09-30,0.57,0.82
2020-07-30,2020-06-30,0.42,0.51
2020-04-28,2020-03-31,0.52,0.49
2020-02-03,2019-12-31,0.64,0.77
2019-10-28,2019-09-30,0.63,0.51
2019-07-25,2019-06-30,0.57,0.71
2019-04-29,2019-03-31,0.53,0.60
2019-02-04,2018-12-31,0.55,0.64
2018-10-25,2018-09-30,0.53,0.65
2018-07-23,2018-06-30,0.47,0.59
2018-04-23,2018-03-31,0.46,0.50
2018-02-01,2017-12-31,0.51,0.49
2017-10-26,2017-09-30,0.42,0.48
2017-07-24,2017-06-30,0.22,0.25
2017-04-27,2017-03-31,0.36,0.39
2017-01-26,2016-12-31,0.38,0.38
2016-10-27,2016-09-30,0.33,0.36
2016-07-28,2016-06-30,0.32,0.35
2016-04-21,2016-03-31,0.32,0.30
2016-02-01,2015-12-31,0.33,0.35
2015-10-22,2015-09-30,0.29,0.29
2015-07-16,2015-06-30,0.27,0.25
2015-04-23,2015-03-31,0.27,0.26
2015-01-29,2014-12-31,0.29,0.28
