date,Fiscal Quarter End,Estimated EPS,Actual EPS
2024-07-31,2024-06-30,4.70,5.16
2024-04-24,2024-03-31,4.32,4.71
2024-02-01,2023-12-31,4.83,5.33
2023-10-25,2023-09-30,3.62,4.39
2023-07-26,2023-06-30,2.87,3.23
2023-04-26,2023-03-31,1.96,2.64
2023-02-01,2022-12-31,2.12,3.00
2022-10-26,2022-09-30,1.88,1.64
2022-07-27,2022-06-30,2.50,2.46
2022-04-27,2022-03-31,2.54,2.72
2022-02-02,2021-12-31,3.78,3.67
2021-10-25,2021-09-30,3.20,3.22
2021-07-28,2021-06-30,3.03,3.61
2021-04-28,2021-03-31,2.36,3.30
2021-01-27,2020-12-31,3.24,3.88
2020-10-29,2020-09-30,1.94,2.71
2020-07-30,2020-06-30,1.44,1.80
2020-04-29,2020-03-31,1.73,1.71
2020-01-29,2019-12-31,2.52,2.56
2019-10-30,2019-09-30,1.91,2.12
2019-07-24,2019-06-30,1.90,0.91
2019-04-24,2019-03-31,1.66,0.85
2019-01-30,2018-12-31,2.17,2.38
2018-10-30,2018-09-30,1.46,1.76
2018-07-25,2018-06-30,1.75,1.74
2018-04-25,2018-03-31,1.36,1.69
2018-01-31,2017-12-31,1.96,2.20
2017-11-01,2017-09-30,1.28,1.59
2017-07-26,2017-06-30,1.13,1.32
2017-05-03,2017-03-31,0.88,1.04
2017-02-01,2016-12-31,1.11,1.24
2016-11-02,2016-09-30,0.77,0.88
2016-07-27,2016-06-30,0.62,0.76
2016-04-27,2016-03-31,0.44,0.57
2016-01-27,2015-12-31,0.50,0.59
2015-11-04,2015-09-30,0.35,0.36
2015-07-29,2015-06-30,0.31,0.30
2015-04-22,2015-03-31,0.24,0.23
2015-01-28,2014-12-31,0.33,0.32
