date,Fiscal Quarter End,Estimated EPS,Actual EPS
2024-07-30,2024-06-30,2.90,2.95
2024-04-25,2024-03-31,2.81,2.94
2024-01-30,2023-12-31,2.76,2.93
2023-10-24,2023-09-30,2.65,2.99
2023-07-25,2023-06-30,2.54,2.69
2023-04-25,2023-03-31,2.22,2.45
2023-01-24,2022-12-31,2.27,2.32
2022-10-25,2022-09-30,2.29,2.35
2022-07-26,2022-06-30,2.28,2.23
2022-04-26,2022-03-31,2.18,2.22
2022-01-25,2021-12-31,2.29,2.48
2021-10-26,2021-09-30,2.06,2.27
2021-07-27,2021-06-30,1.90,2.17
2021-04-27,2021-03-31,1.76,1.95
2021-01-26,2020-12-31,1.64,2.03
2020-10-27,2020-09-30,1.53,1.82
2020-07-22,2020-06-30,1.38,1.46
2020-04-29,2020-03-31,1.27,1.40
2020-01-29,2019-12-31,1.32,1.51
2019-10-23,2019-09-30,1.25,1.38
2019-07-18,2019-06-30,1.21,1.37
2019-04-24,2019-03-31,1.00,1.14
2019-01-30,2018-12-31,1.09,1.10
2018-10-24,2018-09-30,0.96,1.14
2018-07-19,2018-06-30,1.07,1.13
2018-04-26,2018-03-31,0.85,0.95
2018-01-31,2017-12-31,0.86,0.96
2017-10-26,2017-09-30,0.72,0.84
2017-07-20,2017-06-30,0.71,0.98
2017-04-27,2017-03-31,0.69,0.73
2017-01-26,2016-12-31,0.79,0.83
2016-10-20,2016-09-30,0.68,0.76
2016-07-19,2016-06-30,0.58,0.69
2016-04-21,2016-03-31,0.63,0.62
2016-01-28,2015-12-31,0.69,0.78
2015-10-22,2015-09-30,0.58,0.67
2015-07-21,2015-06-30,0.56,0.62
2015-04-23,2015-03-31,0.51,0.62
2015-01-26,2014-12-31,0.70,0.77
