date,Fiscal Quarter End,Estimated EPS,Actual EPS
2024-07-23,2024-06-30,0.46,0.42
2024-04-23,2024-03-31,0.35,0.35
2024-01-24,2023-12-31,0.60,0.57
2023-10-18,2023-09-30,0.64,0.53
2023-07-19,2023-06-30,0.69,0.78
2023-04-19,2023-03-31,0.74,0.73
2023-01-25,2022-12-31,0.98,1.07
2022-10-19,2022-09-30,0.87,0.95
2022-07-20,2022-06-30,0.56,0.65
2022-04-20,2022-03-31,0.55,0.95
2022-01-26,2021-12-31,0.56,0.68
2021-10-20,2021-09-30,0.32,0.48
2021-07-26,2021-06-30,0.17,0.34
2021-04-26,2021-03-31,0.15,0.13
2021-01-27,2020-12-31,0.21,0.08
2020-10-21,2020-09-30,0.07,0.09
2020-07-22,2020-06-30,-0.16,0.03
2020-04-29,2020-03-31,-0.10,0.01
2020-01-29,2019-12-31,0.04,0.04
2019-10-23,2019-09-30,-0.10,0.05
2019-07-24,2019-06-30,-0.10,-0.15
2019-04-24,2019-03-31,-0.17,-0.27
2019-01-30,2018-12-31,0.07,0.05
2018-10-24,2018-09-30,-0.12,0.12
2018-08-01,2018-06-30,-0.25,-0.28
2018-05-02,2018-03-31,-0.30,-0.28
2018-02-07,2017-12-31,-0.25,-0.26
2017-11-01,2017-09-30,-0.21,-0.24
2017-08-02,2017-06-30,-0.13,-0.14
2017-05-03,2017-03-31,-0.04,-0.13
2017-02-22,2016-12-31,-0.08,-0.08
2016-10-26,2016-09-30,-0.08,0.01
2016-08-03,2016-06-30,-0.08,-0.10
2016-05-04,2016-03-31,-0.05,-0.08
2016-02-10,2015-12-31,-0.02,-0.09
2015-11-03,2015-09-30,-0.05,-0.07
2015-08-05,2015-06-30,-0.09,-0.05
2015-05-06,2015-03-31,-0.05,-0.05
2015-02-11,2014-12-31,0.01,-0.03
