date,UNRATE,AWHMAN,ICSA,ACOGNO,NEWORDER,PERMIT,SP500,T10YFF,USALOLITOAASTSAM,T10Y2Y,UMCSENT,FEDFUNDS,VIXCLS
2015-01-31,5.7,42.0,287600,185214.0,65003.0,1049.0,2028.18,1.77,100.69657928584499,1.33,98.1,0.11,19.12
2015-02-28,5.5,42.0,301250,189382.0,64079.0,1127.0,2082.20,1.86,100.590451322533,1.36,95.4,0.11,15.90
2015-03-31,5.4,41.8,284000,191853.0,64697.0,1072.0,2079.99,1.93,100.48091641336599,1.40,93.0,0.11,14.81
2015-04-30,5.4,41.8,286000,191871.0,64277.0,1166.0,2094.86,1.81,100.37194051340201,1.40,95.9,0.12,13.49
2015-05-31,5.6,41.8,274000,191277.0,62586.0,1272.0,2111.94,2.07,100.256742261704,1.59,90.7,0.12,13.34
2015-06-30,5.3,41.8,273750,192813.0,63781.0,1379.0,2099.28,2.24,100.13044509214399,1.68,96.1,0.13,14.34
2015-07-31,5.2,41.8,277750,191814.0,63488.0,1140.0,2094.14,2.19,99.97101505676041,1.66,93.1,0.13,14.35
2015-08-31,5.1,41.8,275200,187701.0,63085.0,1165.0,2039.87,2.03,99.7891919376211,1.47,91.9,0.14,19.43
2015-09-30,5.0,41.8,269500,186601.0,63266.0,1144.0,1944.40,2.04,99.613292239032,1.46,87.2,0.14,24.38
2015-10-31,5.0,41.8,267000,184613.0,63436.0,1160.0,2024.81,1.95,99.4680323599224,1.43,90.0,0.12,16.79
2015-11-30,5.1,41.8,268500,183718.0,62050.0,1244.0,2080.62,2.14,99.3462472132,1.38,91.3,0.12,16.21
2015-12-31,5.0,41.8,271000,180482.0,60173.0,1211.0,2054.08,2.01,99.2424035144421,1.26,92.6,0.24,18.03
2016-01-31,4.8,41.9,279600,177754.0,61843.0,1171.0,1918.60,1.72,99.1595531885749,1.19,92,0.34,23.72
2016-02-29,4.9,41.8,266750,178122.0,61082.0,1172.0,1904.42,1.41,99.10414565208549,1.05,91.7,0.38,22.52
2016-03-31,5.0,41.8,263250,179783.0,60644.0,1118.0,2021.95,1.53,99.0867346859161,1.01,91,0.36,15.85
2016-04-30,5.1,41.8,266000,180651.0,61212.0,1160.0,2075.54,1.44,99.0881789884063,1.04,89,0.37,14.30
2016-05-31,4.8,41.9,274500,180757.0,59387.0,1205.0,2065.55,1.44,99.09257577448709,0.99,94.7,0.37,14.85
2016-06-30,4.9,41.8,265250,184283.0,59332.0,1208.0,2083.89,1.27,99.0939401301081,0.91,93.5,0.38,17.77
2016-07-31,4.8,42.0,259400,181431.0,59776.0,1198.0,2148.90,1.11,99.11073749594179,0.83,90,0.39,13.16
2016-08-31,4.9,41.8,263500,182304.0,61486.0,1201.0,2177.48,1.16,99.1557374741209,0.82,89.8,0.40,12.40
2016-09-30,5.0,41.9,251500,182899.0,59489.0,1303.0,2157.69,1.24,99.24341923514429,0.86,91.2,0.40,14.22
2016-10-31,4.9,42.0,255800,183383.0,59280.0,1254.0,2143.02,1.36,99.3693118135355,0.92,87.2,0.40,14.59
2016-11-30,4.7,41.9,245750,182091.0,59445.0,1230.0,2164.99,1.74,99.51752548863779,1.16,93.8,0.41,15.24
2016-12-31,4.7,41.9,252200,189754.0,59590.0,1248.0,2246.63,1.96,99.6679035956588,1.30,98.2,0.54,12.47
2017-01-31,4.7,41.9,244000,189443.0,60577.0,1303.0,2275.12,1.78,99.78947565131242,1.23,98.5,0.65,11.61
2017-02-28,4.6,41.9,230250,188815.0,60784.0,1234.0,2329.91,1.76,99.8693672220464,1.22,96.3,0.66,11.53
2017-03-31,4.4,41.8,233750,186965.0,61217.0,1272.0,2366.82,1.70,99.90791382269569,1.17,96.9,0.79,11.90
2017-04-30,4.4,42.0,227800,186764.0,61377.0,1251.0,2359.31,1.39,99.92041587077091,1.06,97,0.90,13.14
2017-05-31,4.4,41.9,239000,187045.0,61264.0,1208.0,2395.35,1.40,99.9271796690353,1.00,97.1,0.91,10.86
2017-06-30,4.3,42.0,248000,185638.0,60282.0,1353.0,2433.99,1.15,99.9438878626564,0.84,95,1.04,10.51
2017-07-31,4.3,41.9,250800,185650.0,61172.0,1256.0,2454.10,1.16,99.9767853851873,0.95,93.4,1.15,10.26
2017-08-31,4.4,42.0,247750,189232.0,61455.0,1319.0,2456.22,1.05,100.05075591459,0.87,96.8,1.16,11.98
2017-09-30,4.3,41.9,272400,189788.0,63738.0,1273.0,2492.84,1.05,100.157121409161,0.82,95.1,1.15,10.44
2017-10-31,4.2,42.0,242250,192372.0,63809.0,1356.0,2557.00,1.20,100.28409130910102,0.81,100.7,1.15,10.13
2017-11-30,4.2,42.1,247750,197602.0,63830.0,1299.0,2593.61,1.20,100.413773494109,0.66,98.5,1.16,10.54
2017-12-31,4.1,41.8,242600,196820.0,63706.0,1311.0,2664.34,1.10,100.541820853972,0.56,95.9,1.30,10.26
2018-01-31,4.0,41.9,235250,199734.0,63684.0,1317.0,2789.80,1.17,100.668635534121,0.55,95.7,1.41,11.06
2018-02-28,4.1,42.3,221000,200237.0,65569.0,1321.0,2705.16,1.44,100.78308252904499,0.68,99.7,1.42,22.46
2018-03-31,4.0,42.2,225800,199775.0,64151.0,1385.0,2702.77,1.34,100.853038383548,0.57,101.4,1.51,19.02
2018-04-30,4.0,42.3,221500,201729.0,65251.0,1378.0,2653.63,1.18,100.872616354723,0.48,98.8,1.69,18.27
2018-05-31,3.8,42.1,221250,202852.0,66616.0,1338.0,2701.49,1.28,100.853420310029,0.47,98,1.70,14.12
2018-06-30,4.0,42.2,222600,203807.0,67716.0,1345.0,2754.35,1.09,100.804780122537,0.38,98.2,1.82,13.68
2018-07-31,3.8,42.2,209500,205091.0,68233.0,1334.0,2793.64,0.98,100.729100259206,0.28,97.9,1.91,13.15
2018-08-31,3.8,42.1,208500,205541.0,67133.0,1273.0,2857.82,0.97,100.62784526606899,0.25,96.2,1.91,12.55
2018-09-30,3.7,42.0,205200,207405.0,67190.0,1314.0,2901.50,1.06,100.485319382087,0.24,100.1,1.95,12.91
2018-10-31,3.8,42.1,213000,207827.0,67696.0,1272.0,2785.46,0.96,100.29719300226601,0.29,98.6,2.19,19.35
2018-11-30,3.8,41.9,225250,201641.0,65849.0,1340.0,2723.23,0.92,100.080535712525,0.26,97.5,2.20,19.39
2018-12-31,3.9,42.1,224600,198538.0,65602.0,1317.0,2567.31,0.56,99.8580511000046,0.16,98.3,2.27,24.95
