Release Date,Time,Actual,Forecast,Previous,
Sep 06 2024 (Aug),08:30,142K,164K,89K,
Aug 02 2024 (Jul),08:30,114K,176K,179K,
Jul 05 2024 (Jun),08:30,206K,191K,218K,
Jun 07 2024 (May),08:30,272K,182K,165K,
May 03 2024 (Apr),08:30,175K,238K,315K,
Apr 05 2024 (Mar),08:30,303K,212K,270K,
Mar 08 2024 (Feb),09:30,275K,198K,229K,
Feb 02 2024 (Jan),09:30,353K,187K,333K,
Jan 05 2024 (Dec),09:30,216K,170K,173K,
Dec 08 2023 (Nov),09:30,199K,180K,150K,
Nov 03 2023 (Oct),08:30,150K,180K,297K,
Oct 06 2023 (Sep),08:30,336K,170K,227K,
Sep 01 2023 (Aug),08:30,187K,170K,157K,
Aug 04 2023 (Jul),08:30,187K,200K,185K,
Jul 07 2023 (Jun),08:30,209K,225K,306K,
Jun 02 2023 (May),08:30,339K,180K,294K,
May 05 2023 (Apr),08:30,253K,180K,165K,
Apr 07 2023 (Mar),08:30,236K,239K,326K,
Mar 10 2023 (Feb),09:30,311K,205K,504K,
Feb 03 2023 (Jan),09:30,517K,185K,260K,
Jan 06 2023 (Dec),09:30,223K,200K,256K,
Dec 02 2022 (Nov),09:30,263K,200K,284K,
Nov 04 2022 (Oct),08:30,261K,200K,315K,
Oct 07 2022 (Sep),08:30,263K,250K,315K,
Sep 02 2022 (Aug),08:30,315K,300K,526K,
Aug 05 2022 (Jul),08:30,528K,250K,398K,
Jul 08 2022 (Jun),08:30,372K,268K,384K,
Jun 03 2022 (May),08:30,390K,325K,436K,
May 06 2022 (Apr),08:30,428K,391K,428K,
Apr 01 2022 (Mar),08:30,431K,490K,750K,
Mar 04 2022 (Feb),09:30,678K,400K,481K,
Feb 04 2022 (Jan),09:30,467K,150K,510K,
Jan 07 2022 (Dec),09:30,199K,400K,249K,
Dec 03 2021 (Nov),09:30,210K,550K,546K,
Nov 05 2021 (Oct),08:30,531K,450K,312K,
Oct 08 2021 (Sep),08:30,194K,500K,366K,
Sep 03 2021 (Aug),08:30,235K,750K,1053K,
Aug 06 2021 (Jul),08:30,943K,870K,938K,
Jul 02 2021 (Jun),08:30,850K,700K,583K,
Jun 04 2021 (May),08:30,559K,650K,278K,
May 07 2021 (Apr),08:30,266K,978K,770K,
Apr 02 2021 (Mar),08:30,916K,647K,468K,
Mar 05 2021 (Feb),09:30,379K,182K,166K,
Feb 05 2021 (Jan),09:30,49K,50K,-227K,
Jan 08 2021 (Dec),09:30,-140K,71K,336K,
Dec 04 2020 (Nov),09:30,245K,469K,610K,
Nov 06 2020 (Oct),09:30,638K,600K,672K,
Oct 02 2020 (Sep),08:30,661K,850K,1489K,
Sep 04 2020 (Aug),08:30,1371K,1400K,1734K,
Aug 07 2020 (Jul),08:30,1763K,1600K,4791K,
Jul 02 2020 (Jun),08:30,4800K,3000K,2699K,
Jun 05 2020 (May),08:30,2509K,-8000K,-20687K,
May 08 2020 (Apr),08:30,-20537K,-22000K,-870K,
Apr 03 2020 (Mar),08:30,-701K,-100K,275K,
Mar 06 2020 (Feb),08:30,273K,175K,273K,
Feb 07 2020 (Jan),09:30,225K,160K,147K,
Jan 10 2020 (Dec),09:30,145K,164K,256K,
Dec 06 2019 (Nov),09:30,266K,186K,156K,
Nov 01 2019 (Oct),08:30,128K,89K,180K,
Oct 04 2019 (Sep),08:30,136K,140K,168K,
Sep 06 2019 (Aug),08:30,130K,160K,159K,
Aug 02 2019 (Jul),08:30,164K,164K,193K,
Jul 05 2019 (Jun),08:30,224K,160K,72K,
Jun 07 2019 (May),08:30,75K,185K,224K,
May 03 2019 (Apr),08:30,263K,181K,189K,
Apr 05 2019 (Mar),08:30,196K,175K,33K,
Mar 08 2019 (Feb),09:30,20K,181K,311K,
Feb 01 2019 (Jan),09:30,304K,165K,222K,
Jan 04 2019 (Dec),09:30,312K,178K,176K,
Dec 07 2018 (Nov),09:30,155K,200K,237K,
Nov 02 2018 (Oct),08:30,250K,193K,118K,
Oct 05 2018 (Sep),08:30,134K,185K,270K,
Sep 07 2018 (Aug),08:30,201K,191K,147K,
Aug 03 2018 (Jul),08:30,157K,193K,248K,
Jul 06 2018 (Jun),08:30,213K,200K,244K,
Jun 01 2018 (May),08:30,223K,189K,159K,
May 04 2018 (Apr),08:30,164K,189K,135K,
Apr 06 2018 (Mar),08:30,103K,193K,326K,
Mar 09 2018 (Feb),09:30,313K,200K,239K,
Feb 02 2018 (Jan),09:30,200K,184K,160K,
Jan 05 2018 (Dec),09:30,148K,190K,252K,
Dec 08 2017 (Nov),09:30,228K,200K,244K,
Nov 03 2017 (Oct),08:30,261K,310K,18K,
Oct 06 2017 (Sep),08:30,-33K,90K,169K,
Sep 01 2017 (Aug),08:30,156K,180K,189K,
Aug 04 2017 (Jul),08:30,209K,183K,231K,
Jul 07 2017 (Jun),08:30,222K,179K,152K,
Jun 02 2017 (May),08:30,138K,185K,174K,
May 05 2017 (Apr),08:30,211K,185K,79K,
Apr 07 2017 (Mar),08:30,98K,180K,219K,
Mar 10 2017 (Feb),09:30,235K,200K,238K,
Feb 03 2017 (Jan),09:30,227K,175K,157K,
Jan 06 2017 (Dec),09:30,156K,178K,204K,
Dec 02 2016 (Nov),09:30,178K,175K,142K,
