date,Open,High,Low,Close,Adj Close,Volume,EPS_diff,UNRATE,AWHMAN,ICSA,ACOGNO,NEWORDER,PERMIT,SP500,T10YFF,USALOLITOAASTSAM,T10Y2Y,UMCSENT,FEDFUNDS,VIXCLS,event_id,day_relative_to_event,SMA_20,SMA_50,RSI,MACD
2015-01-20,26.959999084472656,27.24250030517578,26.625,27.18000030517578,24.237964630126957,199599600,0.12,5.7,42.0,287600,185214.0,65003.0,1049.0,2028.18,1.77,100.696579285845,1.33,98.1,0.11,19.12,0,-5,30.46300001144409,29.14319999694824,82.50229556751512,-0.5128175328746273
2015-01-21,27.237499237060547,27.76499938964844,27.0674991607666,27.387500762939453,24.42300796508789,194303600,0.12,5.7,42.0,287600,185214.0,65003.0,1049.0,2028.18,1.77,100.696579285845,1.33,98.1,0.11,19.12,0,-4,30.46300001144409,29.14319999694824,82.50229556751512,-0.5128175328746273
2015-01-22,27.565000534057617,28.11750030517578,27.43000030517578,28.100000381469727,25.05837631225586,215185600,0.12,5.7,42.0,287600,185214.0,65003.0,1049.0,2028.18,1.77,100.696579285845,1.33,98.1,0.11,19.12,0,-3,30.46300001144409,29.14319999694824,82.50229556751512,-0.5128175328746273
2015-01-23,28.075000762939453,28.4375,27.88249969482422,28.2450008392334,25.187686920166016,185859200,0.12,5.7,42.0,287600,185214.0,65003.0,1049.0,2028.18,1.77,100.696579285845,1.33,98.1,0.11,19.12,0,-2,30.46300001144409,29.14319999694824,82.50229556751512,-0.5128175328746273
2015-01-26,28.434999465942383,28.59000015258789,28.200000762939453,28.274999618530277,25.214439392089844,222460000,0.12,5.7,42.0,287600,185214.0,65003.0,1049.0,2028.18,1.77,100.696579285845,1.33,98.1,0.11,19.12,0,-1,30.46300001144409,29.14319999694824,82.50229556751512,-0.5128175328746273
2015-01-29,29.07999992370605,29.79750061035156,28.88999938964844,29.725000381469727,26.50748634338379,337745600,0.12,5.7,42.0,287600,185214.0,65003.0,1049.0,2028.18,1.77,100.696579285845,1.33,98.1,0.11,19.12,0,2,30.46300001144409,29.14319999694824,82.50229556751512,-0.5128175328746273
2015-01-30,29.600000381469727,30.0,29.212499618530277,29.290000915527344,26.11956787109375,334982000,0.12,5.7,42.0,287600,185214.0,65003.0,1049.0,2028.18,1.77,100.696579285845,1.33,98.1,0.11,19.12,0,3,30.46300001144409,29.14319999694824,82.50229556751512,-0.5128175328746273
2015-02-02,29.512500762939453,29.792499542236328,29.020000457763672,29.65749931335449,26.44729804992676,250956400,0.12,5.7,42.0,287600,185214.0,65003.0,1049.0,2028.18,1.77,100.696579285845,1.33,98.1,0.11,19.12,0,4,30.46300001144409,29.14319999694824,82.50229556751512,-0.5128175328746273
2015-02-03,29.625,29.772499084472656,29.40250015258789,29.662500381469727,26.451753616333008,207662800,0.12,5.7,42.0,287600,185214.0,65003.0,1049.0,2028.18,1.77,100.696579285845,1.33,98.1,0.11,19.12,0,5,30.46300001144409,29.14319999694824,82.50229556751512,-0.5128175328746273
2015-04-20,31.39249992370605,32.029998779296875,31.292499542236328,31.899999618530277,28.559329986572266,188217200,0.029999999999999916,5.4,41.8,284000,191853.0,64697.0,1072.0,2079.99,1.93,100.480916413366,1.40,93.0,0.11,14.81,1,-5,30.46300001144409,29.14319999694824,82.50229556751512,-0.5128175328746273
2015-04-21,32.025001525878906,32.04999923706055,31.667499542236328,31.727500915527344,28.4049015045166,129740400,0.029999999999999916,5.4,41.8,284000,191853.0,64697.0,1072.0,2079.99,1.93,100.480916413366,1.40,93.0,0.11,14.81,1,-4,30.46300001144409,29.14319999694824,82.50229556751512,-0.5128175328746273
2015-04-22,31.747499465942383,32.217498779296875,31.57999992370605,32.154998779296875,28.78762435913086,150618000,0.029999999999999916,5.4,41.8,284000,191853.0,64697.0,1072.0,2079.99,1.93,100.480916413366,1.40,93.0,0.11,14.81,1,-3,30.46300001144409,29.14319999694824,82.50229556751512,-0.5128175328746273
2015-04-23,32.07500076293945,32.60499954223633,32.03499984741211,32.41749954223633,29.022640228271484,183083600,0.029999999999999916,5.4,41.8,284000,191853.0,64697.0,1072.0,2079.99,1.93,100.480916413366,1.40,93.0,0.11,14.81,1,-2,30.46300001144409,29.14319999694824,82.50229556751512,-0.5128175328746273
2015-04-24,32.622501373291016,32.657501220703125,32.307498931884766,32.56999969482422,29.15916633605957,178103600,0.029999999999999916,5.4,41.8,284000,191853.0,64697.0,1072.0,2079.99,1.93,100.480916413366,1.40,93.0,0.11,14.81,1,-1,30.46300001144409,29.14319999694824,82.50229556751512,-0.5128175328746273
2015-04-29,32.540000915527344,32.897499084472656,32.07500076293945,32.15999984741211,28.792102813720703,253544400,0.029999999999999916,5.4,41.8,284000,191853.0,64697.0,1072.0,2079.99,1.93,100.480916413366,1.40,93.0,0.11,14.81,1,2,30.46300001144409,29.14319999694824,82.50229556751512,-0.5128175328746273
2015-04-30,32.15999984741211,32.15999984741211,31.145000457763672,31.287500381469727,28.01097679138184,332781600,0.029999999999999916,5.4,41.8,286000,191871.0,64277.0,1166.0,2094.86,1.81,100.371940513402,1.40,95.9,0.12,13.49,1,3,30.46300001144409,29.14319999694824,68.11964076901417,-0.5128175328746273
2015-05-01,31.524999618530277,32.532501220703125,31.325000762939453,32.23749923706055,28.86148452758789,234050400,0.029999999999999916,5.4,41.8,286000,191871.0,64277.0,1166.0,2094.86,1.81,100.371940513402,1.40,95.9,0.12,13.49,1,4,30.46300001144409,29.14319999694824,73.53044954286767,-0.5128175328746273
2015-05-04,32.375,32.64250183105469,32.064998626708984,32.17499923706055,28.805530548095703,203953200,0.029999999999999916,5.4,41.8,286000,191871.0,64277.0,1166.0,2094.86,1.81,100.371940513402,1.40,95.9,0.12,13.49,1,5,30.46300001144409,29.14319999694824,72.65676101893708,-0.5128175328746273
2015-07-14,31.51000022888184,31.592500686645508,31.26000022888184,31.40250015258789,28.231369018554688,127072400,0.010000000000000009,5.3,41.8,273750,192813.0,63781.0,1379.0,2099.28,2.24,100.130445092144,1.68,96.1,0.13,14.34,2,-5,30.46300001144409,29.14319999694824,62.73473981824661,-0.5128175328746273
2015-07-15,31.43000030517578,31.787500381469727,31.395000457763672,31.70499992370605,28.503313064575195,134596800,0.010000000000000009,5.3,41.8,273750,192813.0,63781.0,1379.0,2099.28,2.24,100.130445092144,1.68,96.1,0.13,14.34,2,-4,30.46300001144409,29.14319999694824,64.76393260374203,-0.5128175328746273
2015-07-16,31.934999465942383,32.14250183105469,31.837499618530277,32.127498626708984,28.883146286010746,144889600,0.010000000000000009,5.3,41.8,273750,192813.0,63781.0,1379.0,2099.28,2.24,100.130445092144,1.68,96.1,0.13,14.34,2,-3,30.710374927520753,29.14319999694824,67.43142347664822,-0.5128175328746273
2015-07-17,32.27000045776367,32.404998779296875,32.07749938964844,32.404998779296875,29.132625579833984,184658800,0.010000000000000009,5.3,41.8,273750,192813.0,63781.0,1379.0,2099.28,2.24,100.130445092144,1.68,96.1,0.13,14.34,2,-2,30.961249828338623,29.14319999694824,69.0867464978267,-0.5128175328746273
2015-07-20,32.74250030517578,33.24250030517578,32.67499923706055,33.01750183105469,29.683263778686523,235600800,0.010000000000000009,5.3,41.8,273750,192813.0,63781.0,1379.0,2099.28,2.24,100.130445092144,1.68,96.1,0.13,14.34,2,-1,31.20712490081787,29.14319999694824,72.4189018811474,-0.5128175328746273
2015-07-21,33.212501525878906,33.22999954223633,32.58000183105469,32.6875,29.386598587036133,307025600,0.010000000000000009,5.3,41.8,273750,192813.0,63781.0,1379.0,2099.28,2.24,100.130445092144,1.68,96.1,0.13,14.34,2,0,31.429249858856203,29.14319999694824,68.15625806817518,-0.5128175328746273
2015-07-23,31.549999237060547,31.772499084472656,31.26499938964844,31.290000915527344,28.130231857299805,203998000,0.010000000000000009,5.3,41.8,273750,192813.0,63781.0,1379.0,2099.28,2.24,100.130445092144,1.68,96.1,0.13,14.34,2,2,31.579999923706055,29.14319999694824,53.73235355083047,-0.5128175328746273
2015-07-24,31.32999992370605,31.434999465942383,30.975000381469727,31.125,27.98188591003418,168649200,0.010000000000000009,5.3,41.8,273750,192813.0,63781.0,1379.0,2099.28,2.24,100.130445092144,1.68,96.1,0.13,14.34,2,3,31.64999990463257,29.14319999694824,52.3243604266422,-0.5128175328746273
2015-07-27,30.772499084472656,30.90250015258789,30.530000686645508,30.6924991607666,27.59306526184082,177822000,0.010000000000000009,5.3,41.8,273750,192813.0,63781.0,1379.0,2099.28,2.24,100.130445092144,1.68,96.1,0.13,14.34,2,4,31.720124816894533,29.14319999694824,48.72054846156163,-0.5128175328746273
2015-07-28,30.84499931335449,30.977500915527344,30.637500762939453,30.84499931335449,27.73016357421875,134472400,0.010000000000000009,5.3,41.8,273750,192813.0,63781.0,1379.0,2099.28,2.24,100.130445092144,1.68,96.1,0.13,14.34,2,5,31.779499816894532,29.14319999694824,50.02749352977922,-0.5128175328746273
2015-10-20,27.834999084472656,28.542499542236328,27.70499992370605,28.4424991607666,25.686016082763672,195871200,0.020000000000000018,5.0,41.8,269500,186601.0,63266.0,1144.0,1944.40,2.04,99.613292239032,1.46,87.2,0.14,24.38,3,-5,31.718499755859376,29.14319999694824,34.92549649866322,-0.5128175328746273
2015-10-21,28.5,28.895000457763672,28.424999237060547,28.440000534057617,25.68375587463379,167180800,0.020000000000000018,5.0,41.8,269500,186601.0,63266.0,1144.0,1944.40,2.04,99.613292239032,1.46,87.2,0.14,24.38,3,-4,31.545499801635742,29.14319999694824,34.91369209502989,-0.5128175328746273
2015-10-22,28.582500457763672,28.875,28.524999618530277,28.875,26.07659721374512,166616400,0.020000000000000018,5.0,41.8,269500,186601.0,63266.0,1144.0,1944.40,2.04,99.613292239032,1.46,87.2,0.14,24.38,3,-3,31.402874755859376,29.14319999694824,38.792330852868474,-0.5128175328746273
2015-10-23,29.174999237060547,29.8075008392334,29.082500457763672,29.770000457763672,26.884864807128903,237467600,0.020000000000000018,5.0,41.8,269500,186601.0,63266.0,1144.0,1944.40,2.04,99.613292239032,1.46,87.2,0.14,24.38,3,-2,31.283624839782714,29.14319999694824,45.93158078311451,-0.5128175328746273
2015-10-26,29.520000457763672,29.53249931335449,28.729999542236328,28.81999969482422,26.02692604064941,265335200,0.020000000000000018,5.0,41.8,269500,186601.0,63266.0,1144.0,1944.40,2.04,99.613292239032,1.46,87.2,0.14,24.38,3,-1,31.10374984741211,29.14319999694824,40.52793798823972,-0.5128175328746273
2015-10-27,28.850000381469727,29.13500022888184,28.497499465942383,28.637500762939453,25.862117767333984,279537600,0.020000000000000018,5.0,41.8,269500,186601.0,63266.0,1144.0,1944.40,2.04,99.613292239032,1.46,87.2,0.14,24.38,3,0,30.90712490081787,29.14319999694824,39.56498020191699,-0.5128175328746273
2015-10-28,29.232500076293945,29.825000762939453,29.01499938964844,29.8174991607666,26.92776107788086,342205600,0.020000000000000018,5.0,41.8,269500,186601.0,63266.0,1144.0,1944.40,2.04,99.613292239032,1.46,87.2,0.14,24.38,3,1,30.789999866485594,29.14319999694824,48.14433660837206,-0.39263389046913855
2015-10-29,29.674999237060547,30.17250061035156,29.5674991607666,30.13249969482422,27.212230682373047,204909200,0.020000000000000018,5.0,41.8,269500,186601.0,63266.0,1144.0,1944.40,2.04,99.613292239032,1.46,87.2,0.14,24.38,3,2,30.73224983215332,29.14319999694824,50.177652178363836,-0.2777661810961548
2015-10-30,30.247499465942383,30.30500030517578,29.862499237060547,29.875,26.97968864440918,197461200,0.020000000000000018,5.0,41.8,269500,186601.0,63266.0,1144.0,1944.40,2.04,99.613292239032,1.46,87.2,0.14,24.38,3,3,30.614124870300294,29.14319999694824,48.503362683165484,-0.20815449252570212
2015-11-02,30.200000762939453,30.34000015258789,29.90250015258789,30.295000076293945,27.358985900878903,128813200,0.020000000000000018,5.0,41.8,267000,184613.0,63436.0,1160.0,2024.81,1.95,99.4680323599224,1.43,90.0,0.12,16.79,3,4,30.520124912261963,29.14319999694824,51.354512942068006,-0.12684668195863485
2015-11-03,30.19750022888184,30.872499465942383,30.174999237060547,30.64249992370605,27.672807693481445,182076000,0.020000000000000018,5.0,41.8,267000,184613.0,63436.0,1160.0,2024.81,1.95,99.4680323599224,1.43,90.0,0.12,16.79,3,5,30.482124900817873,29.14319999694824,53.641484118911144,-0.04680794448718398
2016-01-19,24.602500915527344,24.662500381469727,23.875,24.165000915527344,21.916488647460938,212350800,0.009999999999999898,5.0,41.8,271000,180482.0,60173.0,1211.0,2054.08,2.01,99.2424035144421,1.26,92.6,0.24,18.03,4,-5,30.105124950408936,29.14319999694824,27.596948492713718,-0.40720919807031575
