date,Open,High,Low,Close,Adj Close,Volume,EPS_diff,UNRATE,AWHMAN,ICSA,ACOGNO,NEWORDER,PERMIT,SP500,T10YFF,USALOLITOAASTSAM,T10Y2Y,UMCSENT,FEDFUNDS,VIXCLS,event_id,day_relative_to_event,SMA_20,SMA_50,RSI,MACD
2015-01-30,25.950000762939453,27.155000686645508,25.90900039672852,26.877500534057617,26.811111450195312,121108000,-0.009999999999999953,5.4,41.8,284000,191853.0,64697.0,1072.0,2079.99,1.93,100.480916413366,1.40,93.0,0.11,14.81,0,1,48.795575332641604,,67.43231256544563,-2.7954016082059496
2015-04-24,29.002500534057617,29.23500061035156,28.417499542236328,28.683000564575195,28.61215209960937,92168000,-0.010000000000000009,5.4,41.8,284000,191853.0,64697.0,1072.0,2079.99,1.93,100.480916413366,1.40,93.0,0.11,14.81,1,1,48.795575332641604,,67.43231256544563,-2.7954016082059496
2015-10-23,37.50299835205078,37.625,35.89699935913086,35.96649932861328,35.877662658691406,126726000,0.0,5.0,41.8,269500,186601.0,63266.0,1144.0,1944.40,2.04,99.613292239032,1.46,87.2,0.14,24.38,3,1,48.795575332641604,,67.43231256544563,-2.7954016082059496
2016-02-02,40.025001525878906,40.51750183105469,39.02999877929688,39.045501708984375,38.94905853271485,135846000,0.019999999999999962,4.8,41.9,279600,177754.0,61843.0,1171.0,1918.60,1.72,99.1595531885749,1.19,92.0,0.34,23.72,4,1,48.795575332641604,,67.43231256544563,-2.7954016082059496
2016-04-22,37.195499420166016,37.69599914550781,36.51850128173828,36.88850021362305,36.79738235473633,140798000,-0.020000000000000018,5.0,41.8,263250,179783.0,60644.0,1118.0,2021.95,1.53,99.0867346859161,1.01,91.0,0.36,15.85,5,1,48.795575332641604,,67.43231256544563,-2.7954016082059496
2016-07-29,39.885501861572266,40.196998596191406,39.5,39.56700134277344,39.469268798828125,101810000,0.02999999999999997,4.9,41.8,265250,184283.0,59332.0,1208.0,2083.89,1.27,99.0939401301081,0.91,93.5,0.38,17.77,6,1,48.795575332641604,,67.43231256544563,-2.7954016082059496
2016-10-28,41.49700164794922,41.95000076293945,40.84999847412109,40.97800064086914,40.87678146362305,87098000,0.02999999999999997,5.0,41.9,251500,182899.0,59489.0,1303.0,2157.69,1.24,99.24341923514427,0.86,91.2,0.4,14.22,7,1,48.795575332641604,,67.43231256544563,-2.7954016082059496
2017-01-27,42.95000076293945,43.34999847412109,42.095001220703125,42.25149917602539,42.14713668823242,75050000,0.0,4.7,41.9,252200,189754.0,59590.0,1248.0,2246.63,1.96,99.6679035956588,1.30,98.2,0.54,12.47,8,1,48.795575332641604,,67.43231256544563,-2.7954016082059496
2017-04-28,46.45000076293945,46.79499816894531,46.1609992980957,46.22600173950195,46.11182022094727,76918000,0.030000000000000027,4.4,41.8,233750,186965.0,61217.0,1272.0,2366.82,1.70,99.90791382269568,1.17,96.9,0.79,11.90,9,1,48.795575332641604,,67.43231256544563,-2.7954016082059496
2017-07-25,48.53499984741211,48.83649826049805,48.18999862670898,48.45149993896485,48.331825256347656,118672000,0.03,4.3,42.0,248000,185638.0,60282.0,1353.0,2433.99,1.15,99.9438878626564,0.84,95.0,1.04,10.51,10,1,48.795575332641604,,67.43231256544563,-2.7954016082059496
